Borough,Area,Unemployment rate  - 16+ white UK born,null...4,null...5,null...6,Unemployment rate  - 16+ white not UK born,null...8,null...9,null...10,Unemployment rate  - 16+ ethnic minority UK born,null...12,null...13,null...14,Unemployment rate  - 16+ ethnic minority not UK born,null...16,null...17,null...18,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,null,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,,,,,,,,,,,
,Barking and Dagenham,5200,36800,14.2,8.3,1400,13500,10,*,1600,8100,19.8,*,4600,33300,13.8,8.5,,,,,,,,,,,
,Barking and Dagenham,2900,32400,8.9,7.6,900,13300,7,*,2400,10800,22.2,*,4200,34400,12.1,8.5,,,,,,,,,,,
,Barking and Dagenham,3100,34000,9,7.2,!,13500,!,!,1400,13400,10.1,*,5700,35700,16,9.2,,,,,,,,,,,
,Barking and Dagenham,3700,31700,11.8,8.5,!,17900,!,!,1200,12600,9.5,*,1900,34600,5.4,*,,,,,,,,,,,
,Barking and Dagenham,1600,32200,5.1,*,!,18500,!,!,1300,13800,9.7,*,1700,35400,4.8,*,,,,,,,,,,,
,Barking and Dagenham,2000,34800,5.8,*,1000,19500,5.3,*,!,11800,!,!,2300,38400,5.9,*,,,,,,,,,,,
,Barking and Dagenham,2200,25700,8.4,*,3400,20900,16.1,*,!,12600,!,!,4300,45400,9.5,*,,,,,,,,,,,
,Barking and Dagenham,2200,31700,6.8,*,!,9500,!,!,!,14600,!,!,!,43200,!,!,,,,,,,,,,,
,Barking and Dagenham,!,17700,!,!,1800,23400,7.8,*,!,19100,!,!,!,48100,!,!,,,,,,,,,,,
,Barnet,2200,93100,2.3,*,2200,42900,5.1,*,1900,21400,8.6,*,3500,32300,10.8,*,,,,,,,,,,,
,Barnet,2500,87500,2.9,*,2300,44700,5.1,*,1800,18600,9.9,*,2200,35100,6.3,*,,,,,,,,,,,
,Barnet,6600,91700,7.2,5.7,1400,40400,3.4,*,4200,23600,17.8,*,4000,36500,10.9,*,,,,,,,,,,,
,Barnet,1600,80300,2,*,!,40900,!,!,!,22800,!,!,3000,42100,7.1,*,,,,,,,,,,,
,Barnet,3300,88900,3.7,*,!,46100,!,!,!,21000,!,!,4300,45800,9.4,*,,,,,,,,,,,
,Barnet,2500,93500,2.6,*,!,49000,!,!,4000,24500,16.3,*,4800,48500,9.9,*,,,,,,,,,,,
,Barnet,!,75100,!,!,2700,65700,4,*,!,23800,!,!,6500,50600,12.8,*,,,,,,,,,,,
,Barnet,2800,73400,3.8,*,4100,49700,8.3,*,4500,30700,14.7,*,4100,53100,7.7,*,,,,,,,,,,,
,Barnet,5200,72600,7.2,*,2500,47000,5.4,*,!,27400,!,!,!,55600,!,!,,,,,,,,,,,
,Bexley,5200,89400,5.8,4.4,1100,9600,11.3,*,!,5800,!,!,3000,14900,20.4,*,,,,,,,,,,,
,Bexley,3600,91000,4,3.6,!,8000,!,!,!,4600,!,!,1600,19000,8.3,*,,,,,,,,,,,
,Bexley,6900,94300,7.4,4.8,1600,10800,14.8,*,!,4500,!,!,!,17000,!,!,,,,,,,,,,,
,Bexley,4000,90900,4.4,3.9,!,11700,!,!,!,8100,!,!,!,20500,!,!,,,,,,,,,,,
,Bexley,1800,91100,2,*,!,11400,!,!,900,7800,11.7,*,!,17400,!,!,,,,,,,,,,,
,Bexley,3500,87500,4,3.7,!,17300,!,!,!,7000,!,!,1800,16700,11.1,*,,,,,,,,,,,
,Bexley,3600,84600,4.3,*,!,15700,!,!,!,11100,!,!,3400,22600,15.2,*,,,,,,,,,,,
,Bexley,4800,78300,6.1,*,!,15800,!,!,!,6200,!,!,!,27000,!,!,,,,,,,,,,,
,Bexley,2300,86500,2.7,*,!,15200,!,!,!,11700,!,!,!,25400,!,!,,,,,,,,,,,
,Brent,2600,29100,9.1,*,1200,30700,4.1,*,3900,28700,13.6,10.7,8000,74000,10.8,6,,,,,,,,,,,
,Brent,1300,33100,4,*,!,35000,!,!,3000,25200,12.1,10.8,5800,67000,8.6,5.6,,,,,,,,,,,
,Brent,!,32200,!,!,1900,33200,5.7,*,4700,29300,16,11.6,5400,74000,7.3,5.1,,,,,,,,,,,
,Brent,2500,30700,8.3,*,2200,39600,5.6,*,1800,24700,7.3,*,6300,73500,8.6,5.8,,,,,,,,,,,
,Brent,!,25000,!,!,!,38200,!,!,4000,35400,11.4,*,3900,70000,5.6,*,,,,,,,,,,,
,Brent,!,31800,!,!,3300,46100,7.2,*,#,35500,6.4,*,3500,63000,5.6,*,,,,,,,,,,,
,Brent,!,36500,!,!,!,35600,!,!,3000,41400,7.1,*,!,59100,!,!,,,,,,,,,,,
,Brent,!,35800,!,!,3500,34800,10,*,!,29200,!,!,7800,73300,10.7,*,,,,,,,,,,,
,Brent,!,31300,!,!,!,42800,!,!,!,30300,!,!,4900,66200,7.4,*,,,,,,,,,,,
,Bromley,8300,126200,6.6,3.9,!,14000,!,!,!,7800,!,!,!,18100,!,!,,,,,,,,,,,
,Bromley,6700,119900,5.6,3.7,!,20000,!,!,!,9300,!,!,900,17600,5.3,*,,,,,,,,,,,
