Borough,Area,Unemployment rate  - 16+ white UK born,Unemployment rate  - 16+ white not UK born,Unemployment rate  - 16+ ethnic minority UK born,Unemployment rate  - 16+ ethnic minority not UK born,Year,null,null,null,null,null,null,null,null,null,null,null,null
,null,number,number,number,number,2013,denominator,percent,confidence,denominator,percent,confidence,denominator,percent,confidence,denominator,percent,confidence
,City of London,!,!,!,!,2013,#,!,!,!,!,-,!,!,-,!,!,-
,Barking and Dagenham,5200,1400,1600,4600,2013,36800,14.2,8.3,13500,10,*,8100,19.8,*,33300,13.8,8.5
,Barnet,2200,2200,1900,3500,2013,93100,2.3,*,42900,5.1,*,21400,8.6,*,32300,10.8,*
,Bexley,5200,1100,!,3000,2013,89400,5.8,4.4,9600,11.3,*,5800,!,!,14900,20.4,*
,Brent,2600,1200,3900,8000,2013,29100,9.1,*,30700,4.1,*,28700,13.6,10.7,74000,10.8,6
,Bromley,8300,!,!,!,2013,126200,6.6,3.9,14000,!,!,7800,!,!,18100,!,!
,Camden,3500,1900,900,1900,2013,52600,6.6,5.7,34000,5.5,*,7900,11.2,*,22300,8.7,*
,Croydon,6000,!,2800,7400,2013,90100,6.6,5.4,23500,!,!,29300,9.7,*,56400,13.1,9.2
,Ealing,5400,1000,6500,7600,2013,58100,9.2,7.5,27500,3.6,*,26000,25.1,17.2,63300,12,8.4
,Enfield,4800,2400,2600,2200,2013,74800,6.4,5.3,27600,8.6,*,18700,14.2,*,32000,6.9,*
,Greenwich,6100,!,2800,4700,2013,63200,9.7,6.9,18200,!,!,13800,20.5,*,36300,13,10.5
,Hackney,3400,2200,2200,6400,2013,57000,5.9,*,25900,8.5,*,18200,12.2,*,31100,20.7,12.6
,Hammersmith and Fulham,2000,800,800,2700,2013,49000,4.1,4.2,31100,2.7,*,7900,9.5,*,14900,17.9,14.1
,Haringey,2600,1000,4600,3600,2013,58700,4.4,4.5,32800,3,*,25200,18.3,13.5,22400,16.2,12.6
,Harrow,2300,1700,1700,6000,2013,37100,6.2,*,18300,9.1,*,13700,12.3,*,52100,11.4,6.6
,Havering,7400,1300,1000,!,2013,97500,7.6,4.8,8300,15.2,*,4500,22.1,*,9100,!,!
,Hillingdon,5800,!,2500,4000,2013,76400,7.6,5.5,10100,!,!,17800,14.1,*,46800,8.6,7.5
,Hounslow,2700,700,2100,5700,2013,46900,5.7,5.7,28200,2.6,*,15300,13.4,*,52300,10.9,7.6
,Islington,5200,1700,2400,1900,2013,68300,7.7,5.7,24000,7.1,*,13900,17.1,*,16100,12,*
,Kensington and Chelsea,1300,600,1600,2100,2013,28000,4.5,*,28300,2.2,*,6800,23.1,*,17500,12.1,10.5
,Lambeth,3100,1300,!,1000,2013,56400,5.4,4.3,16500,8,*,4900,!,!,13100,7.3,*
,Lambeth,3600,2600,4900,4600,2013,95500,3.7,*,54200,4.9,*,25700,19,17.2,25000,18.6,15.9
,Lewisham,8100,1300,3100,4500,2013,81200,10,6,27200,4.8,*,19600,15.7,*,30800,14.4,11.4
,Merton,2900,!,1200,1000,2013,54700,5.3,4.9,30400,!,!,7000,16.5,*,22100,4.6,*
,Newham,2300,!,4800,12200,2013,20800,11.2,*,21500,!,!,30400,15.7,12.4,87600,13.9,6.6
,Redbridge,2300,1300,6000,5800,2013,47400,4.9,*,18300,7.2,*,30100,19.9,13.2,50700,11.5,7.7
,Richmond upon Thames,2100,600,!,700,2013,70800,3,*,22500,2.7,*,4700,!,!,6900,9.6,*
,Southwark,5200,2700,5000,5000,2013,75100,6.9,5.2,31700,8.6,*,15800,31.5,21.2,38300,13,9.6
,Sutton,4000,1000,!,1500,2013,74600,5.4,4.6,9800,10.1,*,4000,!,!,18600,8,*
,Tower Hamlets,3200,2300,8800,5900,2013,45200,7.1,6.7,31300,7.3,*,28800,30.4,15.5,41800,14.1,9.3
,Waltham Forest,4400,1300,2500,2300,2013,53400,8.2,6.8,28700,4.6,*,19700,12.7,*,37700,6.1,*
,Wandsworth,6200,3400,5400,2700,2013,112100,5.6,4.8,39300,8.5,*,17700,30.5,25.2,20500,13.2,*
,Westminster,2400,1600,900,2400,2013,44000,5.4,*,38400,4.2,*,7900,11,*,29900,8,7.5
,North East,115500,2800,1500,4700,2013,1160200,10,1,43600,6.4,4.2,12600,11.7,9.8,32900,14.1,6.9
,North West,228800,10900,14100,19500,2013,3031600,7.5,0.7,148200,7.4,3,103500,13.6,4.6,171200,11.4,3.3
,Yorkshire and The Humber,186000,13000,18400,19600,2013,2282200,8.2,0.8,132900,9.8,3.8,96300,19.1,6.8,138800,14.1,4.8
,East Midlands,131300,10700,10900,16600,2013,1959300,6.7,1,137400,7.8,3.8,74300,14.7,6.2,131900,12.6,4.1
,West Midlands,152800,10800,39700,32900,2013,2232000,6.8,0.8,126500,8.5,3.8,195100,20.3,4.9,214800,15.3,4
,East,146500,13500,11900,16400,2013,2600500,5.6,0.8,240000,5.6,2.5,79500,14.9,6.2,155900,10.5,3.8
,London,132100,42500,86100,125600,2013,2064800,6.4,0.9,818200,5.2,1.4,507200,17,3,1068300,11.8,1.7
,South East,203000,18700,14000,22900,2013,3802700,5.3,0.6,395600,4.7,1.6,111000,12.7,4.4,238500,9.6,2.6
,South West,130500,11200,5300,9000,2013,2427100,5.4,0.7,174300,6.4,2.7,35300,15.2,9.3,75400,11.9,5.5
,Area,Unemployment rate  - 16+ white UK born,Unemployment rate  - 16+ white not UK born,Unemployment rate  - 16+ ethnic minority UK born,Unemployment rate  - 16+ ethnic minority not UK born,2014,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
,null,number,number,number,number,2014,denominator,percent,confidence,denominator,percent,confidence,denominator,percent,confidence,denominator,percent,confidence
,City of London,!,!,!,!,2014,1600,!,!,!,!,-,!,!,-,!,!,-
,Barking and Dagenham,2900,900,2400,4200,2014,32400,8.9,7.6,13300,7,*,10800,22.2,*,34400,12.1,8.5
,Barnet,2500,2300,1800,2200,2014,87500,2.9,*,44700,5.1,*,18600,9.9,*,35100,6.3,*
,Bexley,3600,!,!,1600,2014,91000,4,3.6,8000,!,!,4600,!,!,19000,8.3,*
,Brent,1300,!,3000,5800,2014,33100,4,*,35000,!,!,25200,12.1,10.8,67000,8.6,5.6
,Bromley,6700,!,!,900,2014,119900,5.6,3.7,20000,!,!,9300,!,!,17600,5.3,*
,Camden,4700,1700,!,1900,2014,58800,8,5.8,33000,5.1,*,9600,!,!,22900,8.4,*
,Croydon,5200,!,5100,4700,2014,99400,5.2,4.8,24000,!,!,28300,18,*,46300,10.1,*
,Ealing,3800,2600,2700,4200,2014,60500,6.4,*,41100,6.3,*,22800,12,*,50800,8.3,8.2
,Enfield,4800,1600,1500,3100,2014,79100,6.1,5.3,21500,7.3,*,19500,7.8,*,35600,8.6,*
,Greenwich,7900,1200,2600,2600,2014,69200,11.4,7.3,22800,5.3,*,13700,19.3,*,32200,8.1,*
,Hackney,1200,2000,3900,4400,2014,58100,2.1,*,32200,6.3,*,20400,19,14.7,32700,13.3,9.7
,Hammersmith and Fulham,1800,2800,!,800,2014,53300,3.5,*,30100,9.4,*,7200,!,!,18700,4.2,*
,Haringey,2900,2600,2900,3100,2014,56800,5.2,5.1,38700,6.6,*,19000,15,*,26100,12,11.1
,Harrow,!,!,1900,3900,2014,36500,!,!,16600,!,!,14900,12.7,*,56800,6.9,5.3
,Havering,6600,!,1700,!,2014,103100,6.4,4.1,9300,!,!,5000,33.5,*,11700,!,!
,Hillingdon,3800,!,2000,3800,2014,73900,5.2,4.5,22600,!,!,14500,13.9,*,40400,9.4,8
,Hounslow,2300,!,3000,4000,2014,42600,5.4,*,33300,!,!,18200,16.8,*,52700,7.7,*
,Islington,2900,2200,!,2900,2014,69600,4.2,4.3,28400,7.6,*,10300,!,!,16000,18.4,15.8
,Kensington and Chelsea,2200,900,600,1900,2014,28500,7.9,6.1,30900,3,*,4400,14.6,*,21800,8.6,8.1
,Kingston upon Thames,2500,!,!,1700,2014,52300,4.7,4.2,15500,!,!,4800,!,!,17300,10,*
,Lambeth,4000,3700,!,3100,2014,105400,3.8,*,48300,7.6,*,18200,!,!,30900,9.9,*
,Lewisham,2000,2300,2000,2100,2014,72900,2.8,*,28700,7.9,*,26600,7.7,*,33300,6.4,*
,Merton,3500,!,1400,2300,2014,45900,7.6,6.4,27900,!,!,11100,12.3,*,27600,8.2,*
,Newham,!,2500,5200,7200,2014,21300,!,!,29700,8.5,*,31300,16.6,13.1,73100,9.8,6.5
,Redbridge,3600,1700,3300,1500,2014,51000,7.1,6.2,21300,7.8,*,28200,11.8,11,48800,3.1,*
,Richmond upon Thames,3600,!,#,!,2014,70300,5.2,4,22400,!,!,5300,13.5,*,8400,!,!
,Southwark,2900,1800,3400,7900,2014,82900,3.5,3.5,31400,5.7,*,18900,17.9,15.5,44000,18,9.8
,Sutton,3200,!,!,1600,2014,71000,4.5,4.4,11300,!,!,2500,!,!,22500,7.3,*
